1,Tampa Bay Lightning,47-17-4,,,,,,,,,,,,,,,,,,
2,Nashville Predators,44-14-9,,,,,,,,,,,,,,,,,,
3,Boston Bruins,42-15-8,,,,,,,,,,,,,,,,,,
4,Vegas Golden Knights,43-19-5,,,,,,,,,,,,,,,,,,
5,Winnipeg Jets,41-17-9,,,,,,,,,,,,,,,,,,
6,Toronto Maple Leafs,39-22-7,,,,,,,,,,,,,,,,,,
7,Minnesota Wild,38-22-7,,,,,,,,,,,,,,,,,,
8,Pittsburgh Penguins,39-25-4,,,,,,,,,,,,,,,,,,
9,Washington Capitals,37-23-7,,,,,,,,,,,,,,,,,,
10,San Jose Sharks,36-22-9,,,,,,,,,,,,,,,,,,
11,Dallas Stars,37-24-6,,,,,,,,,,,,,,,,,,
12,Anaheim Ducks,34-22-12,,,,,,,,,,,,,,,,,,
13,Los Angeles Kings,37-25-5,,,,,,,,,,,,,,,,,,
14,Philadelphia Flyers,34-23-11,,,,,,,,,,,,,,,,,,
15,Colorado Avalanche,35-24-8,,,,,,,,,,,,,,,,,,
16,New Jersey Devils,34-26-8,,,,,,,,,,,,,,,,,,
17,Calgary Flames,33-25-10,,,,,,,,,,,,,,,,,,
18,Columbus Blue Jackets,35-28-5,,,,,,,,,,,,,,,,,,
19,St. Louis Blues,35-27-5,,,,,,,,,,,,,,,,,,
20,Florida Panthers,33-25-7,,,,,,,,,,,,,,,,,,
21,Carolina Hurricanes,30-27-11,,,,,,,,,,,,,,,,,,
22,New York Islanders,29-29-10,,,,,,,,,,,,,,,,,,
23,New York Rangers,30-32-6,,,,,,,,,,,,,,,,,,
24,Chicago Blackhawks,29-31-8,,,,,,,,,,,,,,,,,,
25,Detroit Red Wings,26-30-11,,,,,,,,,,,,,,,,,,
26,Edmonton Oilers,29-34-4,,,,,,,,,,,,,,,,,,
27,Montreal Canadiens,25-31-11,,,,,,,,,,,,,,,,,,
28,Vancouver Canucks,25-33-9,,,,,,,,,,,,,,,,,,
29,Ottawa Senators,23-32-11,,,,,,,,,,,,,,,,,,
30,Buffalo Sabres,22-35-11,,,,,,,,,,,,,,,,,,
31,Arizona Coyotes,21-34-11,,,,,,,,,,,,,,,,,,
