1,Nashville Predators,47-14-10,,,,,,,,,,,,,,,,,,
2,Tampa Bay Lightning,49-19-4,,,,,,,,,,,,,,,,,,
3,Boston Bruins,45-17-8,,,,,,,,,,,,,,,,,,
4,Vegas Golden Knights,46-21-5,,,,,,,,,,,,,,,,,,
5,Winnipeg Jets,43-19-10,,,,,,,,,,,,,,,,,,
6,Toronto Maple Leafs,43-22-7,,,,,,,,,,,,,,,,,,
7,Minnesota Wild,41-24-7,,,,,,,,,,,,,,,,,,
8,Washington Capitals,41-24-7,,,,,,,,,,,,,,,,,,
9,San Jose Sharks,40-23-9,,,,,,,,,,,,,,,,,,
10,Pittsburgh Penguins,41-26-5,,,,,,,,,,,,,,,,,,
11,Colorado Avalanche,39-25-8,,,,,,,,,,,,,,,,,,
12,Anaheim Ducks,37-24-12,,,,,,,,,,,,,,,,,,
13,Philadelphia Flyers,37-25-11,,,,,,,,,,,,,,,,,,
14,Los Angeles Kings,39-27-6,,,,,,,,,,,,,,,,,,
15,Dallas Stars,38-27-8,,,,,,,,,,,,,,,,,,
16,Columbus Blue Jackets,39-28-5,,,,,,,,,,,,,,,,,,
17,St. Louis Blues,39-28-5,,,,,,,,,,,,,,,,,,
18,New Jersey Devils,37-27-8,,,,,,,,,,,,,,,,,,
19,Calgary Flames,35-28-10,,,,,,,,,,,,,,,,,,
20,Florida Panthers,35-27-7,,,,,,,,,,,,,,,,,,
21,Carolina Hurricanes,31-30-11,,,,,,,,,,,,,,,,,,
22,New York Rangers,32-32-8,,,,,,,,,,,,,,,,,,
23,New York Islanders,30-32-10,,,,,,,,,,,,,,,,,,
24,Chicago Blackhawks,30-34-9,,,,,,,,,,,,,,,,,,
25,Edmonton Oilers,31-36-5,,,,,,,,,,,,,,,,,,
26,Montreal Canadiens,26-34-12,,,,,,,,,,,,,,,,,,
27,Detroit Red Wings,26-35-11,,,,,,,,,,,,,,,,,,
28,Ottawa Senators,26-34-11,,,,,,,,,,,,,,,,,,
29,Vancouver Canucks,25-38-9,,,,,,,,,,,,,,,,,,
30,Buffalo Sabres,23-36-12,,,,,,,,,,,,,,,,,,
31,Arizona Coyotes,23-37-11,,,,,,,,,,,,,,,,,,
